	CO	PVs	CO2	PV	CH4	H2O	f_Bilger	chi	O2	H2	T	r_in_m
6566	0.00886662	1.1804700000000001	0.136302	11.8018	4.153209999999999e-06	0.11998699999999998	0.0549688	0.0	0.00667905	0.000260094	2220.17	0.006952239759566697
9068	0.00264589	0.996024	0.00113231	0.712066	0.0559654	0.00880103	0.0602096	0.0	0.210079	0.00105584	407.61300000000006	0.002984752351137253
2724	0.0076009	1.51247	0.133795	11.2067	0.00010776700000000001	0.116372	0.0535646	0.0	0.012777799999999999	0.000287186	2178.57	0.0050180795625626535
29830	0.00936167	83.2339	0.11665899999999998	8.79364	0.000161452	0.102951	0.0485094	0.0	0.0355979	0.000350221	1977.07	0.004265875441336749
8422	4.01343e-06	0.0381909	0.0005997309999999999	0.0460392	3.2782899999999996e-07	0.0004928619999999999	0.000214318	0.0	0.23206300000000002	2.3715399999999998e-07	309.246	0.009759142167219412
10322	0.00887554	1.17525	0.13633900000000002	11.8049	2.25907e-06	0.120032	0.054983199999999996	0.0	0.00660417	0.00025922	2220.72	0.006844748800664638
20760	0.008870399999999999	1.1795	0.13630799999999998	11.8026	3.8199000000000005e-06	0.119997	0.054972400000000005	0.0	0.00666349	0.000260008	2220.28	0.0070059283402130225
5380	0.00887848	1.1728	0.136357	11.8034	1.36181e-06	0.12005199999999999	0.0549894	0.0	0.00657014	0.000258767	2220.98	0.005985159372690088
6002	0.00878729	1.20573	0.136141	11.7696	1.2953900000000001e-05	0.119751	0.05488430000000001	0.0	0.00707016	0.000263011	2217.42	0.005716491327877617
5686	0.00826274	71.9598	0.00817019	2.05133	0.0323723	0.028163900000000002	0.0444589	0.0	0.189619	0.00048635599999999996	683.904	0.0035529447490919405
23028	0.000164999	0.00223932	0.00011293100000000001	0.07114630000000001	0.034976099999999996	0.00111511	0.0354641	0.0	0.222965	9.07943e-05	312.673	0.0031481988369173397
10797	0.00873393	1.22214	0.136036	11.7123	1.86287e-05	0.11959600000000001	0.054828199999999994	0.0	0.00732716	0.000264835	2215.61	0.005662800749885165
22366	0.00135446	0.48663100000000004	0.0292575	2.52205	0.00018958099999999997	0.025074000000000003	0.0117428	0.0	0.18549200000000002	9.002350000000001e-05	751.073	0.009127465164537414
7380	0.00835033	1.29691	0.13561900000000002	11.6206	4.28646e-05	0.118798	0.0545109	0.0	0.00862356	0.00026801	2207.03	0.005179264909695197
27328	0.006608800000000001	1.68439	0.131663	10.7039	0.0001425	0.11353099999999999	0.0523008	0.0	0.0177836	0.000283975	2146.38	0.004910587829089304
31046	0.00850967	1.3081	0.135447	11.7127	4.8489099999999996e-05	0.118806	0.054552199999999995	0.0	0.00864877	0.000276287	2206.14	0.007435776581485218
21869	0.00887831	1.17864	0.136311	11.7985	3.5655699999999994e-06	0.12000799999999999	0.0549774	0.0	0.00664624	0.000260095	2220.38	0.0061463406761177826
5260	0.00637471	1.73222	0.130987	10.2119	0.000151852	0.11271700000000001	0.05194259999999999	0.0	0.0192408	0.000284423	2136.81	0.0046957243630456
1323	0.00733709	2.35447	0.117528	10.2946	0.000296998	0.102401	0.047937400000000005	0.0	0.0391909	0.00042967699999999995	1988.19	0.008295364696720695
5692	0.0138844	661.6339999999999	0.0270594	3.89808	0.0133405	0.04935730000000001	0.035845	0.0	0.153471	0.00035505	1047.68	0.0041046899984529895
4706	0.00267585	2.40896	0.00130757	0.695288	0.049657599999999996	0.00950936	0.053914199999999995	0.0	0.210909	0.0007535910000000001	418.42	0.0039556138395955695
3465	0.00513912	1.63511	0.07649550000000001	6.72491	0.000140152	0.067139	0.0313108	0.0	0.106429	0.000295258	1462.43	0.008725219957829143
29658	0.00705316	2.23337	0.09363830000000001	8.36704	0.000245283	0.082846	0.038957099999999995	0.0	0.076955	0.000421307	1702.12	0.008617730859414212
30919	0.00830367	1.31646	0.13548	11.6175	4.96139e-05	0.118618	0.054448800000000006	0.0	0.00892506	0.000270752	2204.85	0.005340444237403478
12494	1.82152e-05	0.04266230000000001	0.0009077239999999999	0.07071219999999999	2.5362400000000002e-06	0.000756484	0.000329217	0.0	0.23156300000000002	1.22033e-06	314.031	0.009657697299636182
13208	0.00760264	2.3993	0.116103	10.2229	0.000310983	0.101475	0.047604	0.0	0.04103130000000001	0.000448955	1973.3	0.008241678406884122
5465	0.0080927	1.34429	0.135351	11.5166	5.77781e-05	0.118275	0.054299599999999996	0.0	0.00947225	0.000269425	2201.45	0.005340445252486819
5033	0.00887816	1.17242	0.13635999999999998	11.8063	1.21319e-06	0.120054	0.05499009999999999	0.0	0.00656537	0.000258667	2221.02	0.006629878870235866
20769	0.00887979	1.16945	0.136383	11.8075	1.0727999999999999e-07	0.120078	0.054996800000000005	0.0	0.0065256	0.000258048	2221.33	0.0063612081373352345
19345	0.00728474	1.84153	0.129625	11.1829	0.00020117	0.11239600000000001	0.05207919999999999	0.0	0.020008500000000002	0.000343285	2126.38	0.007973005855685797
22038	0.00730586	1.88875	0.128876	11.1331	0.000213615	0.111776	0.0518476	0.0	0.0211767	0.000353044	2117.77	0.007919320761201682
23299	0.0057572	1.64557	0.13209100000000001	10.5071	0.000114879	0.11309100000000001	0.051907	0.0	0.018431299999999998	0.000241885	2146.04	0.0045882372452282815
2003	3.95625e-05	0.00036506900000000004	3.6582400000000002e-06	0.00974032	0.107384	0.00013734	0.107596	0.0	0.20742399999999997	0.00031916599999999996	301.113	0.002715257762220744
30598	0.00861506	1.2708899999999999	0.1357	11.7393	3.57136e-05	0.119155	0.054676199999999994	0.0	0.00806627	0.000271646	2210.28	0.007435778619203238
10075	0.00781088	1.48528	0.13411199999999998	11.3818	0.000103001	0.11685599999999999	0.0537891	0.0	0.011935	0.000289803	2183.77	0.00534045026268385
28188	0.00022794599999999998	0.09465599999999999	0.00385912	0.313474	3.60729e-05	0.00334644	0.00145958	0.0	0.22665900000000003	1.5866700000000002e-05	360.106	0.009512342044996071
5861	0.0101142	58.446000000000005	0.121886	9.18224	9.99158e-05	0.108004	0.0506922	0.0	0.0263567	0.00034881800000000003	2044.52	0.004212185340979312
525	0.00716694	1.47376	0.134248	11.1833	8.81159e-05	0.116351	0.053436800000000007	0.0	0.0127292	0.000262138	2181.14	0.0048569041423627045
5253	0.00870417	1.24055	0.135902	11.7609	2.52427e-05	0.119439	0.0547773	0.0	0.00759342	0.000267957	2213.64	0.0073282857647952015
24886	0.0183724	1220.48	0.024256599999999996	4.21866	0.0180046	0.0534649	0.042930199999999995	0.0	0.148625	0.000590816	1082.36	0.004104701290276796
8597	0.00867704	1.2247299999999999	0.136044	11.7194	1.90813e-05	0.11954300000000001	0.0547996	0.0	0.00740531	0.000263379	2215.24	0.005501629880180964
9534	0.00137262	0.768096	0.00400817	0.754302	0.0221584	0.0110088	0.026364999999999996	0.0	0.213833	6.38802e-05	451.504	0.003830688212528397
3740	0.00872288	1.24013	0.13589600000000002	11.7627	2.5256e-05	0.119453	0.054785900000000005	0.0	0.00757326	0.000268534	2213.71	0.007328287811736177
19761	1.7917599999999999e-06	0.037088800000000005	0.000513824	0.039357800000000005	1.83612e-08	0.000420813	0.000183198	0.0	0.2322	8.82944e-08	307.91900000000004	0.009877673464682863
30445	0.00765536	2.4123200000000002	0.101595	9.088189999999999	0.000292528	0.0898105	0.0423172	0.0	0.0636806	0.000462858	1803.81	0.008456543476316372
27251	0.00858861	1.28102	0.13563	11.7323	3.92271e-05	0.11906199999999999	0.0546435	0.0	0.00822258	0.000272995	2209.16	0.0074357812561962845
7795	0.008847200000000001	1.18963	0.136239	11.7961	7.43577e-06	0.119907	0.054942099999999994	0.0	0.00681345	0.00026149	2219.19	0.006952243777864525
21182	0.00372776	4.85158	0.006651100000000001	1.35666	0.0257382	0.0191612	0.033418199999999995	0.0	0.202646	0.00017484	563.244	0.0038306928710624922
6074	2.84264e-05	0.00299054	4.8591199999999995e-06	0.00909958	0.0567773	0.000137503	0.0568942	0.0	0.21923499999999999	0.00011436799999999999	301.637	0.0034067691831557944
27854	0.00885603	1.18546	0.136268	11.7987	5.94201e-06	0.11994400000000001	0.0549543	0.0	0.00675223	0.00026085400000000003	2219.63	0.00695224443302305
59	0.00119895	0.321002	0.015481700000000001	1.39819	0.000197104	0.0136749	0.00651014	0.0	0.207121	8.37419e-05	541.562	0.009251555353209588
25247	0.00740926	2.43204	0.109194	9.6549	0.000298535	0.0957409	0.0449561	0.0	0.052177499999999995	0.000446955	1892.82	0.008402856963735605
13151	0.00888028	1.17172	0.13636500000000001	11.8068	9.67341e-07	0.12006099999999999	0.0549924	0.0	0.00655464	0.000258583	2221.09	0.0066835690067208854
7539	0.00780761	2.44246	0.10297100000000001	9.21982	0.000303212	0.09104939999999999	0.042930199999999995	0.0	0.0613064	0.00047271300000000004	1821.12	0.008402856220077791
12160	0.00877397	1.22159	0.13602	11.7755	1.8785399999999998e-05	0.119624	0.05484580000000001	0.0	0.00728889	0.00026614900000000003	2215.74	0.007328286443432735
26176	0.00820536	1.3797	0.134997	11.6516	7.17295e-05	0.118065	0.05426659999999999	0.0	0.00986924	0.000281468	2197.83	0.007650644781801073
1795	0.00888687	1.17004	0.136375	11.8	3.91297e-07	0.120077	0.0549985	0.0	0.0065278	0.00025843599999999996	2221.28	0.006038846778988518
30057	0.00852022	1.29419	0.13555599999999998	11.6567	4.34566e-05	0.11892	0.0545869	0.0	0.00845308	0.00027351599999999996	2207.64	0.0053941320712511285
11602	0.0229382	663.039	0.098316	8.73545	0.000149911	0.101382	0.0500345	0.0	0.039532099999999994	0.000608934	1839.21	0.004051005475693658
29955	0.00722005	1.88051	0.128962	11.1273	0.000209339	0.111772	0.0518202	0.0	0.021172	0.00034778900000000004	2118.29	0.007919318314425806
28755	0.000279316	0.10608599999999999	0.0044336	0.36163	4.4372799999999996e-05	0.00385971	0.0016838	0.0	0.225688	1.94658e-05	369.106	0.009579904962743628
29119	0.00887845	1.17297	0.136356	11.8061	1.42369e-06	0.12005	0.0549891	0.0	0.0065723	0.000258803	2220.96	0.0066835690067208854
2539	0.00887368	1.1758899999999999	0.13633499999999998	11.8006	2.48657e-06	0.120026	0.054981100000000005	0.0	0.00661401	0.000259301	2220.65	0.0059851659912152815
11978	0.00887775	1.17615	0.136331	11.8015	2.6200099999999998e-06	0.120026	0.0549822	0.0	0.00661425	0.000259506	2220.63	0.006146341770557508
16086	0.00887784	1.17309	0.136355	11.8039	1.46531e-06	0.120049	0.0549886	0.0	0.00657438	0.00025881	2220.95	0.006146343126388242
22356	0.00721698	2.14435	0.123971	10.7652	0.00026438	0.107575	0.0501315	0.0	0.0291562	0.00039249	2060.84	0.008134186186521673
27486	0.00887671	1.17485	0.13634200000000002	11.8052	2.12158e-06	0.12003499999999999	0.054984500000000006	0.0	0.00659819	0.000259172	2220.77	0.006844747061250694
15017	0.00887015	1.17828	0.136318	11.8031	3.3574800000000003e-06	0.12000599999999999	0.054974800000000004	0.0	0.006647800000000001	0.00025972	2220.4	0.0068447491174362255
27462	0.0315903	10749.3	0.0588619	7.343960000000001	0.00224615	0.0864246	0.044907800000000005	0.0	0.081474	0.0006695630000000001	1598.2	0.0038306928710624922
22662	0.00697662	1.50145	0.133926	11.1265	9.33893e-05	0.115882	0.05322280000000001	0.0	0.0135496	0.000260396	2176.01	0.00485691141242045
288	0.000342448	0.118998	0.00501042	0.41096000000000005	5.46479e-05	0.00438506	0.00191353	0.0	0.224696	2.38992e-05	378.17800000000005	0.00940940701837948
8477	0.00919087	93.4707	0.013595699999999999	2.55894	0.0235836	0.0341821	0.038371499999999996	0.0	0.180377	0.00035386699999999995	787.5419999999999	0.004265875441336749
24001	0.00871054	1.2302600000000001	0.135982	11.7269	2.14562e-05	0.119521	0.0548016	0.0	0.00745244	0.000265844	2214.72	0.0055016262073045285
17913	0.00870737	1.22736	0.136007	11.7328	2.03399e-05	0.11954100000000001	0.0548064	0.0	0.00741652	0.000265068	2215.02	0.005555306788765135
9614	0.00882464	1.19687	0.136193	11.7629	9.95717e-06	0.11984000000000002	0.0549179	0.0	0.00692531	0.000262331	2218.4	0.005716496428661527
3204	0.00291319	0.784572	0.000971933	0.686976	0.0653	0.00897236	0.0698685	0.0	0.207796	0.00136801	409.64599999999996	0.0036397685275352336
21322	0.0105389	156.609	0.0181933	3.01127	0.0196331	0.03973719999999999	0.0370278	0.0	0.17114100000000002	0.000304271	881.9630000000001	0.004104693247229201
6266	0.00414129	5.977180000000001	0.00766046	1.49621	0.0249849	0.0210142	0.033456099999999996	0.0	0.20005599999999998	0.000172466	591.9580000000001	0.003693847037886112
25541	0.00010080799999999999	0.00171436	1.90995e-05	0.037171300000000004	0.0639807	0.000430845	0.0641967	0.0	0.216806	0.00044056300000000004	304.337	0.0034784843157996273
19992	0.0193961	1786.35	0.0285916	4.58838	0.014078100000000001	0.05651269999999999	0.0408902	0.0	0.141873	0.000622068	1138.52	0.004265875441336749
2831	0.0117638	227.438	0.0112846	2.70567	0.0304469	0.0356444	0.046431400000000005	0.0	0.17836	0.0006891110000000001	794.7460000000001	0.00410469802896632
9522	0.0207666	923.673	0.0811559	7.70321	0.000594405	0.08781239999999998	0.0435423	0.0	0.0687708	0.000606285	1663.2	0.004212189338431975
14171	0.00162332	0.552134	0.0324543	2.81465	0.000225047	0.027922000000000002	0.013105100000000001	0.0	0.180115	0.000107569	800.15	0.009175722415428664
3366	0.0406148	7944.38	0.0719827	8.97562	0.00111292	0.101957	0.0529939	0.0	0.048848800000000005	0.00112532	1764.66	0.0038306903985574187
3093	1.15643e-05	0.04103540000000001	0.000816615	0.06320790000000001	1.4713200000000001e-06	0.00067638	0.000294252	0.0	0.231715	7.55681e-07	312.608	0.009801665935161227
24098	0.00885338	1.18798	0.136249	11.7974	6.8667100000000005e-06	0.119923	0.054948000000000004	0.0	0.00678708	0.000261334	2219.37	0.007005930082394556
27	0.00756609	2.4441900000000003	0.106584	9.47137	0.000300487	0.09376469999999999	0.0441013	0.0	0.05603060000000001	0.00045798	1863.01	0.008456549923047814
1571	0.00886001	1.1838899999999999	0.136278	11.7998	5.382430000000001e-06	0.119958	0.054959100000000004	0.0	0.00672861	0.00026063700000000003	2219.8	0.00695224443302305
27444	1.60294e-07	0.0330171	7.63446e-05	0.00590995	1.64235e-09	6.2404e-05	2.7454000000000002e-05	0.0	0.232881	7.8989e-09	301.18	0.009773804801251354
2273	0.00885667	1.18611	0.136262	11.7985	6.19304e-06	0.119939	0.054953199999999994	0.0	0.00676023	0.000261026	2219.57	0.007005932743953514
