	CO	PVs	CO2	PV	CH4	H2O	f_Bilger	chi	O2	H2	T	r_in_m
26506	0.0917847	66.6932	0.0536716	11.7231	0.00786574	0.12936	0.0926369	0.0	0.0036029000000000005	0.00670676	1767.91	0.004910587906302564
7963	0.0664533	4162.55	0.0425975	10.468	0.030173099999999998	0.102176	0.09435110000000001	0.0	0.0496648	0.00466694	1518.46	0.008886398042767384
27773	0.0090837	6.46164e-07	0.00226365	1.3324200000000002	0.250697	0.0173523	0.263638	0.0	0.152044	0.00350165	455.36199999999997	0.0023309969987945073
30018	0.0847569	98.8362	0.0287834	9.50097	0.0631534	0.105272	0.14061099999999999	0.0	0.0370108	0.00790372	1358.08	0.005340445252486819
35632	0.00225652	1.35984	0.0785057	5.76136	5.9048999999999997e-05	0.0664684	0.0302228	0.0	0.107522	0.000128893	1488.04	0.009989846256794948
37544	0.00569863	13.9877	0.1183	8.677710000000001	0.000187611	0.101631	0.0470295	0.0	0.039760699999999996	0.000273632	1988.02	0.008402858334566875
33992	0.05691	13.8307	0.020718900000000002	6.813910000000001	0.11706300000000001	0.07827630000000001	0.17346199999999998	0.0	0.076668	0.00653728	1068.33	0.0034966717863848763
34151	0.0295622	0.014181899999999999	0.00964975	3.8161099999999997	0.201989	0.0461234	0.234789	0.0	0.11682000000000001	0.00509257	749.284	0.0019142092344621054
40174	0.00163864	1.25987	0.07752039999999999	5.7503	4.1911000000000006e-05	0.06513540000000001	0.0294629	0.0	0.10996099999999999	9.32341e-05	1475.03	0.008617728673210881
46531	0.0942018	150.385	0.045786	11.5121	0.018449200000000002	0.12631199999999998	0.105369	0.0	0.00762185	0.0074146	1655.74	0.006952239759566697
46112	0.0855424	1150.97	0.04643630000000001	11.1131	0.021645400000000002	0.12070499999999999	0.101109	0.0	0.017722799999999997	0.006333699999999999	1650.91	0.007489464647623353
15692	0.0892379	929.057	0.038125	10.8059	0.0249072	0.119628	0.10589900000000001	0.0	0.0221405	0.00700224	1586.0	0.004695721757911663
10346	0.028767599999999997	0.00893475	0.00934881	3.72474	0.205393	0.045101999999999996	0.237467	0.0	0.117808	0.00503842	738.9019999999999	0.0032228119087684905
45457	0.0100751	2.16621e-06	0.00257347	1.46327	0.247234	0.018956999999999998	0.26125	0.0	0.15056	0.00361772	472.458	0.002567389614998082
