	CO	PVs	CO2	PV	CH4	H2O	f_Bilger	chi	O2	H2	T	r_in_m
3877	0.003821	2.07155	0.11058399999999999	9.22522	0.000141961	0.09388250000000001	0.0430494	0.0	0.055407200000000004	0.000226469	1892.84	0.00829536910726099
38911	0.00243093	2.61516e-09	0.000428955	0.394133	0.275071	0.005396100000000001	0.279958	0.0	0.161948	0.00235393	324.317	0.002220428541182985
30552	0.00397935	1.53545	0.13306500000000002	10.318	4.3668199999999996e-05	0.112304	0.0510831	0.0	0.0196363	0.000143914	2147.46	0.006200029419583425
5734	9.956189999999999e-06	0.057588099999999996	0.00272399	0.208556	1.0202799999999999e-07	0.00223142	0.0009701960000000001	0.0	0.228756	4.90623e-07	341.971	0.010694162278187152
33149	0.0036045	1.9107299999999998	0.12445	10.1806	0.000112157	0.10484700000000001	0.0478955	0.0	0.0339466	0.000187098	2048.43	0.007811830091137416
23345	0.013246700000000002	5.97806	0.00406005	2.21085	0.0724735	0.0290689	0.0884554	0.0	0.180601	0.00320768	645.177	0.0037023809815036604
34446	0.00441653	0.0653244	0.000898559	0.714824	0.193144	0.0096177	0.20058499999999999	0.0	0.176119	0.00288126	383.845	0.0019955371641041924
16270	0.0429063	56.7448	0.10481700000000001	10.9495	0.000481827	0.12371099999999999	0.0639898	0.0	0.00480569	0.00189013	2074.62	0.0045882350398056115
10231	0.00386086	1.42365	0.13481500000000002	10.094	1.29766e-05	0.113676	0.051582	0.0	0.0170141	0.00011908200000000001	2166.8	0.00646869898970388
25430	0.00204818	0.000560926	0.00034710000000000003	0.335462	0.301764	0.00461254	0.30603800000000003	0.0	0.156683	0.00217695	318.52299999999997	0.003397238049077515
36565	0.000879716	0.631891	0.0480563	3.87877	1.53651e-05	0.040016699999999995	0.0180454	0.0	0.157055	4.71635e-05	1036.18	0.009664249148702656
16421	0.00463701	1.3353	0.136054	10.8488	2.5142e-06	0.11548299999999999	0.052453099999999996	0.0	0.013799500000000001	0.00013393	2186.07	0.0064687024977579536
1811	0.00132049	0.8203469999999999	0.0588169	4.7882	2.6834e-05	0.0491821	0.022274400000000003	0.0	0.139688	7.23156e-05	1202.14	0.009533463222281815
24018	0.00277271	0.038975800000000005	0.000511589	0.47650600000000004	0.18429600000000002	0.00648183	0.189499	0.0	0.182029	0.00244682	352.7	0.001450009498333028
35693	0.000382784	0.401428	0.032370499999999996	2.58941	5.520280000000001e-06	0.026770599999999995	0.0120459	0.0	0.182158	1.98663e-05	796.174	0.009952696698448114
35706	0.0464369	1470.45	0.021924000000000003	6.864910000000001	0.041460699999999996	0.07808	0.0879433	0.0	0.103145	0.00427921	1242.61	0.0046957243630456
11981	0.00487883	1.4857799999999999	0.134219	10.7913	5.27502e-05	0.114099	0.05203769999999999	0.0	0.0163831	0.000174665	2165.62	0.007167111834688295
32789	1.2174e-07	0.033051599999999993	8.81484e-05	0.00691048	1.24706e-09	7.19801e-05	3.1838800000000004e-05	0.0	0.23286300000000001	5.9989499999999994e-09	301.36400000000003	0.011181581327567223
21080	0.00283475	1.54823	0.13243	10.479000000000001	1.98602e-05	0.110729	0.05014369999999999	0.0	0.022438099999999996	9.5667e-05	2134.01	0.00732828703420008
7129	0.00706977	0.15679400000000002	0.0014856	1.11914	0.127309	0.014909100000000002	0.13763399999999998	0.0	0.185167	0.00343885	463.358	0.002726083955993469
12552	0.012980799999999999	104.81700000000001	0.11742999999999999	9.21614	0.000267688	0.106977	0.051075699999999995	0.0	0.0286786	0.000499723	2008.64	0.005877673478622303
7882	0.010499799999999998	2.33872	0.00343261	1.8530799999999998	0.0669824	0.0250198	0.0799707	0.0	0.18783699999999998	0.00265601	603.104	0.0041046903817759505
3013	0.0343666	438.55699999999996	0.108528	10.4382	0.000528285	0.118099	0.060545100000000004	0.0	0.010910799999999998	0.00143201	2027.95	0.0043733651327210275
19925	0.00310124	1.77637	0.09090160000000001	7.59583	9.605389999999999e-05	0.0773832	0.035353699999999995	0.0	0.0870527	0.00018183400000000002	1652.57	0.008940081588827923
25204	0.014190600000000001	6.08863	0.00380924	2.22328	0.0882104	0.0287344	0.105447	0.0	0.17641700000000002	0.00377747	631.5880000000001	0.0034751858098382308
36581	0.00601189	14.3757	0.127994	9.24888	5.0268599999999995e-05	0.109768	0.050432	0.0	0.0237815	0.00019989900000000002	2099.3	0.006200029541582846
4555	0.00414831	1.7714599999999998	0.128961	10.5436	0.000102576	0.109009	0.049822500000000006	0.0	0.0259406	0.00019186599999999998	2101.53	0.0076506534029516715
4115	0.000987439	0.66742	0.0503175	4.0722	1.79417e-05	0.041957999999999995	0.018944	0.0	0.153382	5.32051e-05	1070.82	0.009522518065385857
35879	0.00331056	1.86664	0.09507410000000001	7.9478800000000005	0.000107837	0.08094730000000001	0.037025199999999994	0.0	0.08028210000000001	0.000195556	1705.57	0.008778908527584738
8154	0.00381524	2.04507	0.11849100000000001	9.81301	0.000138786	0.100225	0.045913699999999995	0.0	0.043025400000000005	0.000217085	1982.79	0.008080500182965161
28233	0.00825892	2.10006	0.00222885	1.44508	0.11084100000000001	0.0181851	0.122202	0.0	0.185057	0.00306887	504.76300000000003	0.0035590123743814103
9480	0.00147231	0.849353	0.059267200000000006	4.844040000000001	3.02088e-05	0.04969	0.0225377	0.0	0.138757	8.075979999999999e-05	1208.24	0.009579904962743628
5447	0.00262011	0.0600502	0.000518741	0.47773699999999997	0.187313	0.0062994999999999995	0.191907	0.0	0.181598	0.00225473	352.665	0.001880132943490965
37116	0.0139042	1.30811	0.132306	10.5137	9.07327e-05	0.121636	0.05659109999999999	0.0	0.00513592	0.000471254	2211.96	0.005662805018760579
22494	0.0146951	1.9403700000000002	0.127608	10.3837	0.000353777	0.117969	0.055918899999999994	0.0	0.0115788	0.000645724	2155.65	0.006522390245623148
26665	0.000316076	0.371369	0.030602800000000003	2.44155	4.47708e-06	0.025263900000000002	0.011358799999999999	0.0	0.185006	1.63581e-05	769.6060000000001	0.00984096668365461
6472	4.55321e-06	0.0453765	0.00149077	0.11458900000000001	4.665780000000001e-08	0.00122017	0.000532942	0.0	0.230679	2.24373e-07	322.994	0.010818002777171948
6841	0.00743701	1.51542	0.13376	9.865260000000001	0.000105793	0.11618099999999999	0.0534534	0.0	0.013093700000000002	0.00028136599999999996	2177.06	0.005662800749885165
32597	5.9237199999999994e-08	0.032776599999999996	5.12221e-05	0.00404962	6.06725e-10	4.1813699999999996e-05	1.85266e-05	0.0	0.23292	2.9189799999999998e-09	300.793	0.011140693049294556
19570	0.00381327	1.87038	0.125947	10.3486	0.000111186	0.106249	0.048556	0.0	0.031249400000000004	0.000190919	2066.19	0.007811827484558271
28509	0.00103029	0.6859770000000001	0.0517766	4.1927900000000005	1.90881e-05	0.0431852	0.019506700000000002	0.0	0.151052	5.5654899999999995e-05	1093.4	0.0094828083784921
31460	0.0165352	8.518410000000001	0.128859	10.2931	9.797899999999999e-05	0.121054	0.056856899999999995	0.0	0.00611514	0.000556381	2187.97	0.005823983074297177
13542	0.00245317	1.38477	0.0785557	6.51889	6.4582e-05	0.0666697	0.030366200000000003	0.0	0.10715699999999999	0.000140243	1488.66	0.0091753303225606
7437	0.00373153	1.99463	0.12093499999999999	9.94968	0.00012918	0.102124	0.0467314	0.0	0.0392992	0.000205511	2009.84	0.008241681059419857
1273	0.060792	2505.57	0.0323227	8.50285	0.0207675	0.098589	0.0781815	0.0	0.0697937	0.00426525	1502.47	0.0042658741543370685
6236	1.80666e-06	0.0384168	0.000736476	0.0568499	1.8511900000000002e-08	0.0006022919999999999	0.000264266	0.0	0.231854	8.9028e-08	311.371	0.01079109340466016
13349	0.00406025	1.4508	0.134462	10.6339	2.4572600000000003e-05	0.113559	0.0515942	0.0	0.0172687	0.000132653	2163.86	0.007113416450764008
22569	5.90414e-05	0.14363199999999998	0.0114296	0.901967	6.560939999999999e-07	0.00938042	0.00419628	0.0	0.21516500000000002	2.9447399999999998e-06	475.835	0.010226936658784977
2968	0.0315091	989.5039999999999	0.017678	5.138999999999999	0.0348103	0.0623057	0.068178	0.0	0.13451300000000002	0.0025968000000000002	1134.93	0.003913994990435731
1213	0.00540589	0.47894899999999996	0.00120067	0.948783	0.10018300000000001	0.012746700000000001	0.10813199999999999	0.0	0.194776	0.00278077	447.324	0.0026083183006105678
15167	9.61558e-08	0.0329384	7.293149999999999e-05	0.00573102	9.8495e-10	5.9549099999999995e-05	2.6352600000000002e-05	0.0	0.23288699999999998	4.738220000000001e-09	301.128	0.011123329125563082
22459	0.00395785	1.7453599999999998	0.12934500000000002	10.6374	9.20111e-05	0.10915899999999999	0.0498288	0.0	0.025624099999999997	0.00017895099999999997	2104.89	0.007596957636613487
33273	0.00362184	2.05798	0.113178	9.373280000000001	0.000134204	0.09580010000000001	0.0438616	0.0	0.051654	0.000212839	1921.85	0.008241678406884122
10360	0.000144729	0.23863	0.019973599999999998	1.5852700000000002	1.79482e-06	0.0164324	0.00737431	0.0	0.201769	7.33919e-06	606.868	0.010151120302040557
6993	0.00342493	1.99417	0.10354400000000001	8.628169999999999	0.00012101299999999999	0.0878946	0.040210699999999995	0.0	0.06697130000000001	0.00020396900000000003	1808.96	0.008617730859414212
30925	0.00450484	0.106628	0.000858215	0.76527	0.111497	0.0104025	0.118519	0.0	0.194719	0.00287828	418.85	0.0026199009387570357
9289	0.00360383	2.0225	0.105097	8.75835	0.000129499	0.0892921	0.0408986	0.0	0.0642866	0.000214758	1827.97	0.008402856629248175
1960	0.013309200000000002	2.2375599999999998	0.0035759999999999998	2.1284	0.0802783	0.028087099999999997	0.0964429	0.0	0.17988099999999999	0.00357535	626.493	0.004588235594267147
21439	0.021849599999999997	23.3056	0.00671269	3.29299	0.07489370000000001	0.041581400000000004	0.09941110000000002	0.0	0.160576	0.00414183	781.437	0.0035529447490919405
15822	0.00128817	0.0006757880000000001	0.00016895700000000002	0.22688899999999998	0.14473699999999998	0.00319624	0.147836	0.0	0.194864	0.00218022	332.82099999999997	0.002745079961039386
