	CO	PVs	CO2	PV	CH4	H2O	f_Bilger	chi	O2	H2	T	r_in_m
36221	0.0541984	304.751	0.0936148	11.2328	0.00126207	0.122886	0.0679348	0.0	0.00693514	0.00282504	2005.07	0.006952241894417944
14566	0.0060593999999999995	2.29638	0.10934300000000001	8.39509	0.000236913	0.0947346	0.0440968	0.0	0.053983500000000004	0.00036411099999999997	1888.22	0.009136279028937329
10488	0.0115756	1.74097e-05	0.00303615	1.6630200000000002	0.22180500000000003	0.0214185	0.23751	0.0	0.152978	0.00385284	497.57300000000004	0.00256041877912579
9556	0.04715	7.9189	0.0162511	5.79455	0.119401	0.0679229	0.167725	0.0	0.0971656	0.00619589	975.826	0.004534540321788417
39726	0.049444	5.48586	0.0174957	6.00927	0.142747	0.0698608	0.192821	0.0	0.0868536	0.00616959	987.818	0.0061463395917752545
21425	0.0358483	0.557883	0.0118108	4.539630000000001	0.157049	0.054324000000000004	0.195549	0.0	0.11336600000000001	0.00559017	837.8689999999999	0.005179263667839281
12581	0.000213624	0.324525	0.0279105	2.18759	2.91676e-06	0.0229674	0.010310099999999999	0.0	0.189344	1.0993399999999999e-05	729.232	0.01079109340466016
14018	0.0198787	0.0289015	0.00577555	2.71014	0.163824	0.0339213	0.187977	0.0	0.147471	0.0047207	629.862	0.0035529447490919405
38338	0.080709	69.6375	0.0742539	11.6618	0.00164566	0.12542999999999999	0.078074	0.0	0.00226927	0.00522597	1928.03	0.006200031291090392
24336	0.0845446	867.805	0.0326256	9.926210000000001	0.05325	0.10948599999999999	0.130357	0.0	0.0327225	0.00725217	1439.45	0.0064687009013711565
3192	0.012190399999999999	2.8213999999999998e-06	0.00327206	1.7346099999999998	0.251596	0.0222222	0.267791	0.0	0.14469200000000002	0.00380099	506.94199999999995	0.004588239631252928
4433	0.00126916	0.904417	0.06580830000000001	4.99696	2.80442e-05	0.054869900000000006	0.024816	0.0	0.12889	7.04697e-05	1310.35	0.010282908493830916
44738	0.00674037	3.94786e-08	0.00159617	1.00768	0.32062399999999996	0.0132536	0.330712	0.0	0.141315	0.00299962	414.066	0.0004246839156937781
18074	0.0134902	51.9132	0.11881199999999999	9.53271	0.000465862	0.109222	0.0522725	0.0	0.0262243	0.000607421	2038.72	0.008134185104022406
14091	0.07650030000000001	396.279	0.0693067	11.5758	0.00308359	0.125636	0.0767788	0.0	0.00746357	0.00455423	1897.32	0.0063075216694435535
519	0.00538839	1.0087999999999999e-08	0.00118728	0.825092	0.285288	0.0109852	0.293933	0.0	0.152626	0.00291968	387.713	0.0022297755623490447
40374	5.6895500000000004e-05	0.165949	0.0145857	1.14517	6.59803e-07	0.0119493	0.00535034	0.0	0.210271	2.85601e-06	524.9169999999999	0.011341943499524231
24836	0.000121314	0.26360100000000003	0.023607200000000002	1.8525	1.5733700000000003e-06	0.019367	0.00868114	0.0	0.196168	6.19388e-06	663.847	0.010976205911994365
1117	0.067452	152.53	0.08472	11.4752	0.00104391	0.124552	0.0719703	0.0	0.00394504	0.00381338	1981.06	0.0066298828295905795
15556	0.0608798	70.0382	0.0204029	7.225339999999999	0.0906292	0.08289769999999999	0.149676	0.0	0.0762463	0.00684352	1148.98	0.0011110359969492437
28906	0.0173731	5.664020000000001e-05	0.0051269	2.36633	0.276077	0.029565699999999997	0.29723	0.0	0.12723299999999998	0.00409775	583.559	0.004695726079681393
40385	1.56822e-05	0.0772558	0.00517026	0.39610100000000004	1.60699e-07	0.00423168	0.00184859	0.0	0.22495	7.72788e-07	379.75	0.011991222383097563
10193	0.0516015	624.961	0.09261160000000002	11.1262	0.0018406	0.120208	0.0671998	0.0	0.0111054	0.00272229	1966.39	0.006683570942303223
20160	0.00843255	2.52952	0.11149200000000001	8.92812	0.000350554	0.0984523	0.0464952	0.0	0.0470269	0.0005078740000000001	1924.57	0.008080500339695306
10913	0.07947989999999999	224.697	0.026826099999999995	9.10752	0.0600439	0.101891	0.133183	0.0	0.0466235	0.00753685	1342.95	0.004212180020322019
12183	0.0152829	2.55069e-05	0.00431678	2.12471	0.23936100000000002	0.026868400000000004	0.258713	0.0	0.140448	0.00409787	555.082	0.0015756401564126245
26969	0.0858	801.329	0.032388299999999995	10.0136	0.0486004	0.110569	0.126635	0.0	0.032052	0.00737316	1450.02	0.005018091028767812
23879	0.0327247	2.46618	0.00919551	4.20461	0.107252	0.0511181	0.142559	0.0	0.133185	0.00576015	844.525	0.0035294661877863687
28150	5.7696100000000005e-06	0.055534900000000005	0.00302342	0.233961	5.91121e-08	0.00247068	0.00108852	0.0	0.228298	2.84311e-07	346.727	0.011742240516362286
17958	0.0079638	2.37741	0.118372	9.0507	0.000323407	0.103629	0.0486614	0.0	0.036895	0.000462829	2001.03	0.008456552028066758
40447	0.09006489999999999	451.091	0.047044199999999994	11.3696	0.010311200000000001	0.126929	0.0919304	0.0	0.0116477	0.0063774999999999995	1727.46	0.0037890837820375523
5377	0.00105196	1.27594	0.080465	6.23114	2.7465300000000003e-05	0.0671227	0.0301887	0.0	0.10622999999999999	6.00718e-05	1515.35	0.009175722415428664
