	CO	PVs	CO2	PV	CH4	H2O	f_Bilger	chi	O2	H2	T	r_in_m
9050	0.00819527	1.53263	0.133573	10.0696	0.00012461299999999998	0.116751	0.053861400000000004	0.0	0.0122022	0.000314678	2179.83	0.006844749826465536
2585	0.0446267	73.4445	0.102948	11.0145	0.000620799	0.123722	0.0645781	0.0	0.00531394	0.00203524	2067.04	0.0064687070932992466
20868	0.014915600000000001	1.8262599999999998	0.12828900000000001	10.2678	0.000310898	0.11885599999999999	0.0561966	0.0	0.0101106	0.000627765	2166.74	0.0071134236674754575
34116	3.35093e-05	0.11480599999999999	0.00923019	0.7195590000000001	3.6412100000000003e-07	0.00755999	0.00336643	0.0	0.21861999999999998	1.6657200000000001e-06	442.305	0.011276120335421223
13760	0.0481364	224.903	0.0978948	11.0782	0.00114592	0.122071	0.0657895	0.0	0.00811503	0.00237244	2020.08	0.006629883130810075
17815	0.0169899	0.00044751400000000004	0.00486357	2.34354	0.209248	0.0295113	0.23042600000000002	0.0	0.143517	0.00434264	582.376	0.002754268281086648
36405	0.0308839	19.7638	0.115475	10.7206	0.000343265	0.12319000000000001	0.060711900000000006	0.0	0.00526413	0.00122351	2134.32	0.007005927769146639
44573	0.0699072	109.76700000000001	0.022290400000000002	8.19087	0.0594244	0.09351519999999999	0.12485399999999999	0.0	0.06577580000000001	0.00715427	1273.64	0.002586570623683026
37288	0.0036834000000000003	1.9950700000000001	0.120733	9.21885	0.000127767	0.10192000000000001	0.0466273	0.0	0.0396916	0.00020329200000000002	2007.36	0.007596957547131944
1351	0.000586233	0.660755	0.0564431	4.43291	1.1425899999999998e-05	0.0465584	0.020933	0.0	0.144496	3.1897600000000004e-05	1170.38	0.01016169725573932
27703	0.0110228	0.00110856	0.002806	1.60089	0.177568	0.020745	0.192873	0.0	0.164469	0.00395359	490.106	0.0021726142179972954
43876	0.00385766	0.000441839	0.000784792	0.604645	0.312675	0.00814348	0.319369	0.0	0.14987799999999998	0.00258161	357.711	0.001785803736136757
3473	0.0762341	576.08	0.0693306	11.5349	0.00257646	0.125583	0.0755653	0.0	0.00776838	0.00439072	1904.72	0.006791058423699504
44039	0.00024087099999999998	0.322859	0.0269817	2.13918	3.23905e-06	0.022239599999999998	0.00999038	0.0	0.190742	1.23671e-05	714.2719999999999	0.010999641713660495
40012	0.011747399999999998	0.028234600000000002	0.0029565	1.70287	0.157174	0.022064700000000003	0.17316800000000002	0.0	0.167562	0.00408115	511.745	0.0029682732947119267
39305	0.0541896	128.08700000000002	0.0950158	11.2495	0.000891702	0.124266	0.0677187	0.0	0.00500756	0.00275317	2031.94	0.006683571157285602
20827	0.0218975	7.123819999999999	0.005824800000000001	3.0994900000000003	0.0929184	0.0390145	0.11775	0.0	0.158941	0.00471945	736.462	0.0021726142179972954
40296	0.00570481	0.00739399	0.00128056	0.868333	0.305444	0.0115245	0.31437600000000004	0.0	0.147232	0.00290194	396.413	0.002738350372778473
3451	0.010716100000000001	0.00637304	0.00268012	1.56459	0.163078	0.020337099999999997	0.178073	0.0	0.168534	0.00396732	487.64599999999996	0.0021739506077645826
33038	0.09077660000000001	248.335	0.049663099999999995	11.5432	0.0103983	0.12787	0.0936877	0.0	0.00804436	0.006569199999999999	1735.86	0.005555306788765135
7371	0.08932310000000002	648.258	0.035055800000000005	10.585999999999999	0.0277275	0.11791300000000002	0.108543	0.0	0.025506599999999997	0.00724544	1549.0	0.0049105907490647185
15023	0.000984615	0.776704	0.060226499999999995	4.76375	2.02266e-05	0.0500121	0.022572599999999998	0.0	0.138016	5.40193e-05	1226.71	0.010070656040303431
2540	0.056225699999999997	36.4512	0.018843400000000003	6.732289999999999	0.100391	0.07780039999999999	0.155881	0.0	0.0834379	0.00666835	1093.46	0.004534544747601461
43560	0.0829203	193.326	0.0645585	11.6582	0.00382613	0.127315	0.081373	0.0	0.00502371	0.00531331	1869.51	0.005179264909695197
35090	6.812189999999999e-07	0.0357899	0.00046548900000000003	0.0362878	6.978379999999999e-09	0.000380152	0.000168047	0.0	0.232276	3.35683e-08	307.2	0.011991222383097563
24829	0.0535615	269.717	0.0179107	6.783580000000001	0.0632322	0.07930319999999999	0.11550999999999999	0.0	0.0946625	0.00605635	1163.57	0.0037890848660989368
10155	0.064203	269.814	0.08600260000000001	11.435	0.00161644	0.123147	0.071626	0.0	0.00601809	0.00368214	1965.12	0.006844747061250694
339	0.00157553	1.45928	0.0842756	6.61008	4.37355e-05	0.0707184	0.0319337	0.0	0.0995483	9.07481e-05	1565.1	0.00894009081298954
931	0.0774787	2396.09	0.0379749	10.2551	0.05186280000000001	0.10691300000000001	0.12405799999999999	0.0	0.036058099999999996	0.00612574	1475.76	0.005716492516569929
39683	0.0788708	631.369	0.028356799999999998	9.4138	0.0384421	0.106451	0.11075299999999999	0.0	0.04711459999999999	0.00693921	1432.75	0.0029682732947119267
18933	0.0453516	11.5604	0.0146817	5.5929199999999994	0.11228699999999998	0.0659475	0.158861	0.0	0.103591	0.00622002	976.3960000000001	0.007489473269302722
3601	0.088523	606.88	0.0348875	10.5443	0.0257926	0.11799200000000001	0.10590699999999999	0.0	0.026716800000000002	0.00712992	1556.11	0.0058239785074637755
40233	0.00463938	2.14272	0.10783399999999999	8.34755	0.000174091	0.0923464	0.042590499999999996	0.0	0.058472500000000004	0.000277457	1864.31	0.009066178584679434
19728	3.59643e-08	0.0327218	4.55409e-05	0.00371239	3.68224e-10	3.7157e-05	1.65087e-05	0.0	0.232929	1.7721300000000002e-09	300.705	0.012323288933818316
41973	0.00426595	3.3436700000000003e-09	0.000903831	0.6610050000000001	0.34443	0.00885262	0.351546	0.0	0.141578	0.0025686	366.875	0.0027129707454994797
42655	0.026660900000000005	3.70221	0.00702871	3.58848	0.09564310000000001	0.0445461	0.12499400000000001	0.0	0.148673	0.00525168	788.9010000000001	0.00410469802896632
16745	0.013692	0.0005473359999999999	0.00368882	1.94459	0.17438	0.024887299999999998	0.19248800000000002	0.0	0.159064	0.00421414	532.445	0.0026960466707942944
