	rInmm	CH4	CO2	CO	H2O	H2	O2	T	f_Bilger
1152285	7.3804	3.4544523215005476e-14	0.12034647867765	0.0065048690060315155	0.09957111501414974	0.000198759154477564	0.03812183991877345	1983.7805066679327	0.04695153553109967
1346105	3.3367	0.16991768286039444	0.011099139702837293	0.0069961974242949525	0.01728247186624078	0.0005476315076001588	0.1639254322005501	546.35322243195	0.17960849329964515
1049846	5.41	1.6125467983620262e-05	0.11697467630594365	0.03659117519106842	0.12128312589878558	0.0013686045306672099	0.0016630450647781845	2094.699602486264	0.06233179211954596
202631	11.19	1.2986542315759787e-19	0.0031244130286440467	3.2715244361749186e-05	0.003929024625258494	2.282279540234543e-06	0.22700500030947746	372.75402520085487	0.0014281001101455562
246372	0.1166	0.3333348979796784	0.0015555092690034949	0.0007022077865731595	0.0022355792606038325	5.176458013591892e-05	0.15211384264458522	328.7306545127932	0.3343531846590663
1343810	6.8373	1.2368336369697716e-16	0.12482660597692498	0.0092521312997705	0.10675825343473744	0.0002817312324920957	0.025752510368976318	2052.0031475943574	0.050415384088760534
93891	6.2196	3.2692009236584907e-06	0.11958485040642787	0.024367516956033883	0.1099273673045148	0.0007592427946018985	0.015897899772032674	1996.2207219703562	0.05579105102251071
1606119	6.2337	9.857800521465157e-07	0.11905978762551248	0.0334699130008857	0.12088598145980585	0.0012135646136718608	0.002169925762656089	2110.5594290894837	0.061385284266823686
733796	7.1604	0.00014624634931235107	0.1202839938855976	0.035545545812127245	0.11573273459459728	0.0012597254570043616	0.0035912512223609905	2054.28671046655	0.06186673054255935
36403	9.8373	3.03586064210468e-20	0.05115440608018393	0.0002152768986591257	0.044200140051711766	4.0096077863108685e-06	0.15242259776795802	1148.4248910416513	0.019102119327745182
1798894	1.7781	0.3016882783881624	0.0019885273144385246	0.0009658392767402783	0.0029394495196784103	5.7068295893194566e-05	0.15774516954611278	340.47652763420376	0.3031838591605572
1349928	3.5426	0.0943088715156013	0.04098296668459812	0.022801455035887867	0.052122006957473516	0.0012121109587012787	0.11409493756873185	1028.9344274539462	0.12521879138897826
1296505	3.9544	0.18333633798177404	0.00906007820321697	0.006436434948641057	0.015302988010971054	0.0006127623817258071	0.1646360839221666	513.1955155629004	0.19198925339062256
1000414	0.64556	0.2780294722381528	0.0013700587341563585	0.0005900489389375912	0.0020299600668192987	4.557764879413619e-05	0.16486057357752326	326.8673790598002	0.2790381637529937
1543842	1.4834	0.2103906947142259	0.0029273301752173273	0.0014421155428300664	0.0041751805979326215	7.821410158096622e-05	0.17682565508057216	364.37186004942805	0.21255652093037974
17845	4.7923	0.08781872170048564	0.06282290279792943	0.03074890300885186	0.07599455520633665	0.0015643635922688555	0.07046290684089157	1300.374914284538	0.13282422544409928
1382068	9.748500000000002	2.525380528230416e-22	0.07807652392149167	0.00021869068419996302	0.0600964903160493	3.487093821289508e-06	0.11625033320213335	1450.9102763700685	0.02764543061830137
1112634	4.8952	0.007272588759085157	0.09305162282173557	0.055109852177579806	0.1124982248248124	0.002345016297116581	0.013367714210032898	1864.6576269542802	0.07550713814860167
432522	5.1012	0.02705882102159737	0.07793221874162892	0.04877141898899009	0.09847102813881344	0.0021641160138785717	0.037510159556737366	1654.2025294573184	0.08726814897576565
1482302	8.086999999999998	1.6401557731202709e-18	0.046680967826155585	0.00030282263610147684	0.04408170995533004	7.85656605649712e-06	0.15620465254406182	1124.8100457156913	0.01822115464914541
1385563	12.117	1.5275253619004004e-21	2.780872991667293e-05	1.2864939286721038e-06	0.0001121626689925962	6.898290135730225e-07	0.2328793368965722	300.47337861020884	3.003875362220608e-05
742854	8.3959	1.0200189827284863e-19	0.10721475029592276	0.002614468801680789	0.08554629150247514	7.408001351351364e-05	0.06533658324523756	1821.357416634297	0.03987816622760297
787697	0.33668000000000003	0.2207629881283961	0.0054829465995868045	0.002745081654429789	0.007569223223789535	0.0001487378905387395	0.1683492171128168	411.6539294605609	0.2247963820366368
109181	6.7485	2.216320506602871e-08	0.11360036547871065	0.01337787495619147	0.0986340635507976	0.0004088835307761321	0.03788661789472176	1885.0507611586688	0.0482218018131764
937792	6.1166	1.2502187202594245e-11	0.126593435201307	0.01750066288714545	0.11586834476786008	0.0005685662914669638	0.010517245670141326	2120.3892613275502	0.05577738560273394
1121905	1.9982	0.2786772648751165	0.00264400662212766	0.001324902640005077	0.0039952365159733405	9.811856314362448e-05	0.1613846570881506	353.35015975350746	0.2807301391405805
1804825	2.8219	0.23122911160872464	0.004306237603057354	0.00251616301675765	0.006242321967221879	0.0001618539999502551	0.1681890057044825	390.47203457726204	0.2347019126926491
1270229	6.4255	0.0007869806117969307	0.09815661265299447	0.058571147340944964	0.12155002992738954	0.002798451588182211	0.0018810779856135624	2006.1311596277285	0.07045579709200676
732846	11.087	3.395713307894328e-20	2.6226217213843977e-05	1.716350493229019e-06	0.0001286810182671128	9.908242828521163e-07	0.2328667800783786	300.5782551583278	3.363332566805849e-05
739565	3.8373	0.06421671278409935	0.04420672741567474	0.027503970200900736	0.0602824657540597	0.001555101080921851	0.10745675419299007	1151.510368351845	0.10008840858950538
1748121	8.7048	1.2293928184452336e-20	0.07656469169955307	0.00024832977602399613	0.06312201915016684	6.897111209036246e-06	0.11468079513516467	1484.270779493635	0.02800426155918451
1311079	3.9544	0.0614445218844006	0.047373858475176986	0.031873741684171425	0.06648174815780504	0.0017811290565364652	0.0970163671539253	1214.377173946663	0.101357267164617
916632	6.3225	0.00014977131189883967	0.10005416079582424	0.05891466001813299	0.12004050747684405	0.002310358384691665	0.0013667782417269249	2025.8673790448047	0.06810689097117903
234673	3.6456	0.0939236144181318	0.03912449181485441	0.019746730980611128	0.05032702883904682	0.0010393484223818496	0.11988943401240774	994.8561353098514	0.12271090187527753
620206	4.0574	0.1482948279504569	0.014472950390844447	0.007781998230120381	0.021173255775495163	0.0006307683533969433	0.16183825084537762	604.645462584468	0.1600484908677407
1302083	4.5864	0.042292011531461116	0.0712579293367444	0.04079074753877174	0.08917217681405197	0.0021661744851223506	0.0544344060855432	1513.6277362314663	0.09730397817259487
1856267	5.2041	0.0518073386778113	0.05872908387306582	0.032871674186433206	0.0785680199339254	0.001923957849290724	0.07822225239763049	1372.7145399057288	0.09835532191614524
1521934	12.117	5.042330752493286e-22	5.2257995067487675e-06	3.352284407347888e-07	2.768001457046207e-05	4.6734530689607714e-07	0.2329720482038264	301.56292900339685	7.541584216303983e-06
747610	5.41	0.010981786890375931	0.08575209875932538	0.058636825312791636	0.11003353758896577	0.002848615089623093	0.01754243153130888	1798.8971784520356	0.0805019709797242
369686	4.3804	0.14883338726831793	0.012228985943220387	0.006724832246187857	0.017704462764072428	0.0005255342000095912	0.16666843679185114	555.1585590584691	0.1588766016650492
1085084	0.7485199999999999	0.420620350925375	0.000712857270583192	0.0003559488413402373	0.0010268038593227937	2.4209507511834463e-05	0.13321929023558698	310.9685083200547	0.4211665454859784
1433928	4.1745	0.059392716961820885	0.04774446468704461	0.03207892628083788	0.06708930234291642	0.0018699273206464703	0.09650234125680984	1227.2945308619298	0.0998155206843265
882549	4.2775	0.03972721008684541	0.042286331203138704	0.03688819481525256	0.07222871072836183	0.0021582912211135074	0.0975644174500652	1310.4825984682718	0.08260196947195443
794954	10.572000000000001	2.504985367298606e-20	0.005476883846504695	6.876599347194574e-05	0.00796826522486341	3.6722609720451217e-06	0.22159197777622386	442.88461515052336	0.0027174532948757357
905681	0.5426	0.4101940239625124	0.0014288046217566708	0.000795885040357892	0.002035718059598827	4.664362073165858e-05	0.13383723990896101	325.56511238447086	0.4113114582762573
955547	7.7781	9.034063749887787e-15	0.10299587151220127	0.00394372689052033	0.08647953876628008	0.00013668868110965638	0.0664947413046802	1804.0567297003872	0.03975877731147845
1772342	6.5284	3.138507902633404e-08	0.12225614519879376	0.022719147959057315	0.11341961010587535	0.0007335549907867634	0.011764493320326587	2061.8728193356546	0.05649672342730956
1078532	2.1012	0.18463381830364228	0.002370807112678372	0.0010010099365729461	0.003517161368828329	7.750710259619219e-05	0.18420272925957568	351.20263296375555	0.1863624208900344
1246647	6.7485	0.0005364104339095365	0.10488289225990773	0.05473629066336387	0.1193956797707837	0.0023308928145647193	0.0007418196358855521	2030.1964095974095	0.06950218632261332
916861	3.1308	0.07937930381337842	0.021902210017904662	0.015247904096823837	0.036876373572764416	0.0012630370803862036	0.15303824190740764	829.262651309014	0.0998428315168318
