	rInmm	CH4	CO2	CO	H2O	H2	O2	T	f_Bilger
960948	4.9088	1.9181722639800594e-11	0.1351384166118267	0.010164724257212276	0.11820115480742775	0.0003059916422377981	0.008496477843765601	2207.3495126349094	0.05484513006192957
19750	11.232000000000001	3.786020674443787e-36	1.9370068655861064e-23	1.916925673261272e-22	2.5410949881283906e-20	2.1130277197216502e-14	0.2329999954	299.3184985537349	4.106249964003892e-14
287759	5.4378	1.1833706890873363e-13	0.1367396346799839	0.009357465668651008	0.12032243534943605	0.00027792869963426023	0.006456850815253241	2224.728349341737	0.055214637952892116
298277	8.8496	8.717563500184441e-20	0.06933598096373249	0.0014573483932520095	0.05857821427913849	2.611725138920427e-05	0.1231990088567645	1383.8541770185775	0.02613205462360275
91340	2.0118	0.3477570297888012	5.905308313702278e-19	3.1078257373786036e-19	3.156883163552695e-18	3.258272698464119e-17	0.15157018155445856	300.2293395386272	0.3478523601070892
914250	7.497000000000001	6.102519233851029e-18	0.13767669514142608	0.008099822039527598	0.11779873967990707	0.00021954568531480444	0.008482284224982537	2213.20528678082	0.05444619995828517
1005827	7.599999999999999	4.485598060638708e-18	0.13737234232707649	0.007724612259729267	0.1162945384716379	0.00020582760371511548	0.010158309561902591	2202.4250524392446	0.05395898324386457
1074086	10.511	3.2090587666603028e-28	1.964008397404049e-14	2.9142958990079115e-14	2.1537431948196327e-12	5.787362646133515e-10	0.2329999954	300.09106175621946	1.1238409701262413e-09
337031	7.8059	2.6801931809970944e-18	0.13661228141681506	0.007095835523668812	0.11383864684642367	0.00018509010464905646	0.013217397119786176	2176.056412785086	0.053093391914025616
272016	2.026	0.2586235973169716	1.506303522675719e-17	8.623575409031757e-18	8.045397690853933e-17	7.35157630148787e-16	0.17273875437909042	299.5370797596852	0.2586240866269385
88159	7.922999999999999	1.3912812256713095e-18	0.134827636143643	0.006338112449008722	0.11043002540313457	0.00016153096185826893	0.018072174341583824	2142.1537834276965	0.05177564659905352
1073372	2.3348	0.2307145086399682	5.855397170132312e-13	3.315631261159977e-13	3.1175714634886675e-12	1.1993860354430776e-11	0.1792121832361072	299.8771462749594	0.23072194480992944
1441001	0.055560000000000005	0.7094273940300648	0.0	0.0	0.0	0.0	0.06767994647233172	299.88724088920065	0.7094330040636417
921979	8.9526	2.7136505304428055e-19	0.05045997366862045	0.0011633987934961182	0.045901443967220415	2.132362230023888e-05	0.1505128002848315	1159.091671925507	0.01967337247484828
1246723	7.394	7.136505827066096e-18	0.13771525652547725	0.008238445039623482	0.11834137299283473	0.00022506703347590322	0.007944654044450565	2219.3920275180562	0.05460702118234016
891763	10.614	5.706386119133746e-29	2.1285792530989905e-15	4.614262055740725e-15	3.805464517279497e-13	3.28373677448554e-10	0.2329999954	299.8259451176992	6.434036267915751e-10
1419177	8.8496	1.3227577438432465e-19	0.06268866019630351	0.001352178673958692	0.05426508288005478	2.417303541243459e-05	0.13270042751811967	1308.9540974088807	0.023886261912320524
150395	12.261	0.0	1.0700041073347303e-36	6.074608297018981e-34	2.106873515228275e-31	5.2183406368610974e-21	0.2329999954	300.27872625260005	6.587069749932097e-13
216915	10.717	7.3745469601554044e-31	1.7325253284041906e-17	5.349689288224529e-17	4.961505457770402e-15	2.366671436256913e-11	0.2329999954	299.32285706352087	4.642892196075431e-11
1219468	5.9384	7.713562500052091e-17	0.1371712797204168	0.009061909415456782	0.12053862392289445	0.0002631003566418832	0.0062347698433151974	2233.6261838330565	0.05520814746377591
1450519	8.437799999999998	5.625607695304694e-20	0.1127979804430376	0.003055443684941169	0.08844098083222182	6.988691791154072e-05	0.05839016844040811	1860.034856381885	0.041610295130477086
807396	14.937999999999999	0.0	0.0	0.0	0.0	0.0	0.2329999954	298.65788511902764	-2.4824088941510463e-11
578375	2.5266	0.07459871071725646	1.910327165848997e-07	6.920413991100759e-08	5.203554001366811e-07	9.829501236705427e-08	0.2156249519592261	300.20208566855547	0.0745973857276035
983578	8.938399999999998	2.8238673463326584e-19	0.049046066519644514	0.0011373011365848598	0.04485674897951946	2.0939222802821264e-05	0.15262084801120002	1142.8858753681848	0.019172979900865948
468786	9.2615	5.58050307859921e-19	0.012251426196817808	0.0004338818815277957	0.01585084834011007	1.4380215868737942e-05	0.20897513056666706	590.4096431588684	0.005768835439975319
714859	6.6733	1.108365105390856e-17	0.13749348441176076	0.008837574642736169	0.12040873190834415	0.0002523805027373937	0.006256907829871765	2225.0251003170997	0.05515761443196945
1197857	11.63	0.0	2.091289313194414e-27	4.3446329011733957e-26	7.380285949108427e-24	1.5175319695764934e-16	0.2329999954	300.358362617144	-3.3260579386379467e-13
57063	6.8792	1.076060465936456e-17	0.13754426140260578	0.008785033098649038	0.12021865761493712	0.0002486972606478255	0.006366272339772762	2230.0293390846355	0.05511540467058736
709701	9.9964	2.37078176134806e-23	1.124585889082634e-08	3.6446602086996092e-09	1.7488617157259253e-07	1.340535689733978e-07	0.23299981503960102	298.85772547080563	2.9557505763500643e-07
534970	4.7171	3.3147661239603966e-10	0.13460326787059984	0.009480963435738196	0.11534467295586233	0.00027321331424084484	0.011628558618377364	2183.3971451520765	0.053918715702206965
729148	6.1585	4.218393525086616e-17	0.13738712312243487	0.008914750651354972	0.12052266557260699	0.00025731289825429846	0.006212533074528972	2224.004833775536	0.05518751325244328
1448864	8.2177	2.4880844095265486e-19	0.12633894711894214	0.004475390678689828	0.10011534089665117	0.00010868692884435464	0.03548634837739427	2018.180305187953	0.04727562219041859
1129352	10.085	6.442420270966713e-24	1.9585618121698493e-09	8.745346738476425e-10	4.547870905904098e-08	8.855059787325189e-08	0.2329999439566497	299.9533533111018	1.8042730240575328e-07
1235206	9.0556	4.802984536975249e-19	0.03010795262580685	0.0008077326368056661	0.03093263205788125	1.774443037781974e-05	0.1808476734044583	883.2586949767602	0.012471512217959387
543216	4.5112	0.01865249857449684	0.07035370595563452	0.017123609996464697	0.07154048893988542	0.0006065279658626784	0.0943986426509964	1461.1631350796192	0.055937799519656786
1266493	5.9384	1.725031199895391e-15	0.13726407982815433	0.00899761412106193	0.12050622093769693	0.00025986050853320323	0.006238645043306783	2231.7039673555387	0.05519390265513671
918050	5.0118	1.713888952433141e-08	0.13439844676437024	0.011214514849221969	0.11911937496534825	0.00035336336114809487	0.007543298673634011	2207.34616966064	0.05530792478246376
1345406	5.3207	1.3411040625709606e-07	0.135087356161855	0.010662460252895887	0.11978751009818138	0.00034449504927656205	0.006989616625174839	2214.6946576342098	0.05536382934485287
1259193	12.159	0.0	7.587522570750115e-35	9.991151916600894e-33	2.8505035780444848e-30	1.8663584242723784e-20	0.2329999954	300.21539158785424	7.386663901288421e-12
