	rInmm	CH4	CO2	CO	H2O	H2	O2	T	f_Bilger
1596980	15.01	1.6556364687423074e-21	2.0806433418077387e-06	3.3019302509895355e-08	4.789010986598398e-06	2.765971727891209e-08	0.23299387811823555	297.7808451155879	1.5059388646113615e-06
1696787	11.275	1.4930746847613956e-09	0.05672973865808354	0.005203620147473973	0.05950265452053655	0.00012767897192629974	0.12856465295574798	1334.022058910266	0.025357505851837905
474619	13.450999999999999	1.0251692404910999e-18	0.00020191857323431718	2.6120041999627582e-06	0.00037690254417836614	4.991152877416261e-07	0.23250060358875105	304.66046046194384	0.00011954978519844755
711046	2.9071	0.17540088650852226	0.017425131243032813	0.009992879026197063	0.024123682727604723	0.0006671174535678434	0.14869244618798416	627.8884642069355	0.1894064042766656
1029673	3.3048	0.2035861525341177	0.017592850889278675	0.010414008600928469	0.024498210704712645	0.0007306246993747473	0.14130794233935806	625.4004061557445	0.2180274349969021
1678388	4.2456	0.1086147569409475	0.04320497003429556	0.02634800882727072	0.05732600826538245	0.0016350000214278221	0.1014425486626828	1057.8456110297964	0.14388938053082784
278841	15.923	3.1826047871562806e-25	5.584300757775633e-09	2.337035835227569e-10	3.147028837297201e-08	4.414232957145647e-09	0.2329999708672679	298.13192224619206	1.5373447133761357e-08
1716117	11.172	2.2856634386835852e-11	0.0029853147219737327	3.936152547188262e-05	0.004760025511015373	4.290289294454553e-06	0.22644867187554085	382.6465137025905	0.0015648433189254455
1656872	2.3923	0.19546886948628303	0.023515895263302528	0.013362913198063271	0.031044388882450383	0.0008959238184751098	0.1305752970520748	707.6539988061475	0.21420285600564487
400053	8.3781	0.12984703742619325	0.04469559226511826	0.023257760327698503	0.06214511926236636	0.001622176357179427	0.0936124201427515	1066.7109585722865	0.16532936574638954
1884836	16.245999999999995	1.6516426016410367e-22	2.7641973068676424e-08	1.4375485446144613e-09	1.6852051553419302e-07	1.8995807439022128e-08	0.23299983081218176	298.2083486632418	7.586999817182742e-08
998231	6.4077	0.19481840879450527	0.020949336089863484	0.011713763261462864	0.029023369126838793	0.0008474181315218591	0.13559193667709366	679.7507587964687	0.21174569132551416
1072695	6.4077	0.20714916313995488	0.02695076263957942	0.01665604432832165	0.0371257845694295	0.0011580865573007678	0.11698750444091112	762.5886850848808	0.2296173054253017
1379117	5.0692	0.03745309916655182	0.06479282316246301	0.051634823724432836	0.09458364810814733	0.0029345234788205176	0.0475101040143768	1534.4382526651998	0.0988232264445894
1207644	5.4952	9.039081254129704e-06	0.11932245581558742	0.03293646251368293	0.11864583016694172	0.0012144791417771589	0.003682140023005596	2044.9984907703927	0.06099670426529968
24251	13.334000000000001	2.6016144257037067e-18	1.7029035713035735e-05	4.416567857672268e-07	5.788734975094044e-05	3.031377599523291e-07	0.2329350494778953	298.6084291579197	1.601001387798557e-05
1799843	8.8929	5.5600611433674997e-14	0.07315337895822377	0.0012874334022169411	0.06707735558263513	3.0538600629721365e-05	0.11232796533014797	1504.704393229029	0.028628429413041882
1208456	10.349	7.173799843779329e-12	0.10509993562245408	0.0056133503492113174	0.08284008697712976	0.0001408143008221855	0.06583439841518449	1748.1315285560038	0.04017124915304718
298988	2.9071	0.2526378634664867	0.008886649163132001	0.005149777491287943	0.013012254305781162	0.0005161862087613049	0.15146162698991875	464.2647854911385	0.2602470592403037
1037695	10.554	2.919576341859248e-09	0.04819602641227309	0.0010477619534730958	0.04009431528253588	1.0269995745545843e-05	0.1574629660197841	1077.7012581335796	0.01803463826441764
1038605	2.3781	0.24048286428674925	0.009587543196619187	0.005370683716135917	0.013368721131474337	0.0003794074649785637	0.15310005985027247	481.94774785313103	0.2481378893773965
1784516	12.216	1.2913526881325513e-14	0.029157409460637482	0.00011973067421970664	0.027338267665688618	2.15330468958383e-06	0.18529597071684129	840.263243778645	0.011315912169495514
1309997	3.8196	0.006367443497674222	0.09679870769898162	0.05644659023247215	0.11455074907847596	0.0029222184634128227	0.00796395841366172	1881.6942625499985	0.07761312251378827
1349813	7.6574	7.186530749818703e-15	0.06604946787826285	0.0007877920023463477	0.06477702057338337	3.074466327292996e-05	0.12054749470448307	1448.6109636647643	0.026627269457800414
269260	2.1864	0.1765630030767731	0.02644483466932988	0.01445408029371081	0.03470918765625765	0.0008788825652751609	0.1287872872512049	747.586071889043	0.196853195526329
570791	7.0255	1.6309620304030683e-06	0.12173825292760608	0.030538784460282162	0.11802048003949575	0.001093757983494242	0.003997144006304992	2065.7903427167207	0.0602801837294484
1640023	1.3344	0.22857076081193184	0.011781235666563769	0.007117862330153214	0.016067588251455083	0.00041818962620993765	0.15054304278310354	522.3990191751924	0.2380270622551688
1304821	13.450999999999999	1.1599745142360944e-10	0.011964597578651159	8.063467444713567e-05	0.01165949259320932	1.835572466382053e-06	0.2129661218841193	531.1612969286074	0.004757844621200778
1604913	19.437	2.220562098830465e-30	2.4917595398011268e-15	2.1047730571950555e-16	4.220525868205565e-14	9.730522215837344e-13	0.23300000692365275	298.30938704973977	-1.1083501642603657e-09
593368	8.0834	8.138515355307398e-11	0.12407192202050735	0.016679287290684124	0.10628189163168923	0.0005145969646906442	0.020585561856612485	1972.0486863835642	0.05309254009085517
767750	9.9367	6.3226238372280944e-12	0.028307779556107426	0.00013484531249412842	0.02754204983506747	3.952746907835922e-06	0.1859228233370372	833.1510220513586	0.011173662045391924
1282811	4.8633	0.008150098584837211	0.09438208858834847	0.05788777006120889	0.11425434402739496	0.0029300861809655725	0.008460950346268148	1851.9895808092945	0.07961765132214466
1665319	13.128	3.278713503743024e-15	0.0021587397975333183	2.4536476187416186e-05	0.0031194064082061827	2.2582665714783915e-06	0.2285137164932317	355.3258008509753	0.001069931195410708
1202357	9.7166	5.4987711649486655e-05	0.04006051104075575	0.000833465546351057	0.0402460677394651	2.7187951875688408e-05	0.16456310481139322	1041.4072714027232	0.01638488841178666
846050	4.7745	0.06433414152648405	0.06174678860952298	0.03611919707391551	0.08193929794671052	0.001862919592749732	0.06659963027138445	1380.763927706648	0.1134631568923462
1382980	1.3485	0.21123842322639846	0.006920536950487796	0.0042655773418223695	0.01076392611674858	0.0003789394699687218	0.1654563981642359	449.7724879798142	0.21729112342523346
1841050	10.672	6.456400734608316e-09	0.029796233403254963	0.0003217137555222865	0.028962566333291345	1.2491269132967695e-05	0.1833759123967678	862.0039143890888	0.011813609504931865
352811	9.0988	5.3415129789304044e-14	0.07583675393892678	0.0012339774332198485	0.0688906902917788	3.687063505015664e-05	0.10819018077526248	1527.2127792363744	0.02959568164521428
1021526	7.5686	2.9535401861411496e-10	0.0866281911823454	0.000896500531105335	0.07929177691245327	3.1601069374000954e-05	0.09038434386475584	1674.1348007022389	0.033753737532317064
1607873	4.7604	0.14339711874810832	0.03988582787558448	0.02434682642384115	0.05257937225192368	0.0015679982180030964	0.10185605648008758	971.5956289172516	0.17590942549357635
77183	10.657	2.405075503733626e-16	0.025226732167576114	0.0003134653110209599	0.026111979852144543	1.0494276023397e-05	0.18955127994607626	797.8969761663898	0.010345645001753986
653913	10.334000000000001	6.300798131641448e-06	0.054341001520256234	0.0004496018610827457	0.04624874804560937	6.3362557478350876e-06	0.1481290623614412	1191.4926363769846	0.02016954973365315
1593149	2.4811	0.2885297375279339	0.0029854378038144443	0.0017067616459002961	0.004653916907114201	0.00016484866157036353	0.1579149663772247	365.6307800732783	0.2910851212363756
1559675	11.378	1.776270061602147e-05	0.012645068581019029	0.00019576115705215025	0.012976710549584814	1.6465622827999555e-05	0.2112330598449744	552.9110096086919	0.005229118861655629
566959	12.305	6.139488125286313e-17	0.03749335524946048	0.00017396671952717748	0.034789556472602366	2.18730356359979e-06	0.17190330565206605	975.4860855385413	0.014493124096775284
182636	2.8041	0.2227293256908802	0.01000918738171112	0.005641225241607172	0.014454332721923775	0.0004905692065120358	0.1560425171517927	488.80572253138547	0.2310389470047224
1693705	0.40771999999999997	0.27917549661247554	0.005452106487578823	0.003204350552575533	0.008012998582713659	0.000253746686876255	0.1539935244322944	410.20288063316633	0.2837171193723177
585977	14.481	1.1068954136227074e-19	1.0913517702968545e-05	1.504937641614396e-07	2.2156888065954195e-05	1.28663756804779e-07	0.23297141064906154	298.60415644454173	7.032885241392204e-06
1137972	12.422	5.429088001127893e-11	0.0006134086588259518	9.349710185211625e-06	0.0011789520061624495	2.435806536283284e-06	0.23145591507399124	316.8018569504236	0.00037149183909702905
1410158	19.128	6.309325627048053e-32	5.267588587794153e-16	4.538499495709287e-17	7.021047610079459e-15	1.4874803337796595e-13	0.2330000103	296.67962823242266	-3.901438839094328e-09
1798053	8.8929	3.869880437792909e-11	0.0881044449962495	0.004635859066440161	0.08006464986538278	0.0001416775720599574	0.0836189290898407	1671.4741274981118	0.035783649602747436
1480422	4.5686	0.16459672034181186	0.021618571897001573	0.013052567833204324	0.03011653419789893	0.0008764440148364567	0.1404906819766239	706.343152000431	0.18237969640225066
648527	9.510700000000002	1.8355209578873727e-09	0.043435132863250486	0.00020964546276044184	0.038590701818453095	5.148788610438324e-06	0.1639718731486686	1046.061085839611	0.016382552889674516
1791582	7.4656	0.003444865275089416	0.09645126138382464	0.060245716016585016	0.11814524891429995	0.002937270584558479	0.003193879377077125	1939.250804063494	0.07554881340162717
1852273	17.584	2.22715520836932e-27	1.571439297566986e-11	1.3494252858837102e-12	1.708383795207077e-10	5.430886869477286e-10	0.2329999954	298.4922440070539	1.119208184859114e-09
1075152	3.9367	0.12655493385484068	0.03603071769412082	0.021769820511749957	0.046320503329654164	0.0012582888655663384	0.11605884072954953	923.6570050025473	0.15524405437263575
627384	8.3923	6.932232106557151e-15	0.12809193065600666	0.014449407719775362	0.10867469023669332	0.0004223970312680141	0.017578984129508056	2043.6097347039636	0.0533621095284553
1234437	2.687	0.12600782512204767	0.03921899082181417	0.022819647421442286	0.049755166700843935	0.0013086536544888985	0.11002345826497496	962.5951598082063	0.15659800405122842
1506215	5.4811	0.034059865658653	0.08863859045690868	0.04689259650918486	0.10332041881965234	0.002653185380372725	0.02485240480717544	1674.551794357147	0.09861255146140932
1492346	10.142999999999999	5.296888460562115e-11	0.03787679275086482	0.00045280249733232585	0.0356007832433602	1.9381714611496672e-05	0.17075957519330756	981.4975379519592	0.014818891382843409
467072	12.01	1.5511232248663539e-16	0.0070774349342625	5.920001857674139e-05	0.008916319881027805	3.0509316577885926e-06	0.219455900041186	465.7488963751477	0.0032209049153782364
